5-3全国分年龄、性别、受教育程度、婚姻状况的人口-受教育程度-年龄,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-合计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-女
24,60176.0,26399.0,33777.0,59388.0,26127.0,33261.0,782.0,270.0,512.0,5.0,1.0,4.0,1.0,1.0,0.0
,,,,,,,,,,,,,,,
25-29岁,231417.0,100727.0,130690.0,177523.0,79905.0,97618.0,53631.0,20750.0,32881.0,255.0,69.0,186.0,8.0,3.0,5.0
25,56909.0,25095.0,31814.0,54602.0,24287.0,30315.0,2300.0,805.0,1495.0,6.0,3.0,3.0,1.0,0.0,1.0
26,47246.0,20540.0,26706.0,42215.0,18770.0,23445.0,5011.0,1763.0,3248.0,19.0,7.0,12.0,1.0,0.0,1.0
27,44165.0,18840.0,25325.0,34195.0,15335.0,18860.0,9928.0,3494.0,6434.0,41.0,11.0,30.0,1.0,0.0,1.0
28,41577.0,17890.0,23687.0,26311.0,12034.0,14277.0,15199.0,5838.0,9361.0,63.0,16.0,47.0,4.0,2.0,2.0
29,41520.0,18362.0,23158.0,20200.0,9479.0,10721.0,21193.0,8850.0,12343.0,126.0,32.0,94.0,1.0,1.0,0.0
,,,,,,,,,,,,,,,
30-34岁,229209.0,104916.0,124293.0,54044.0,25346.0,28698.0,172907.0,78759.0,94148.0,2220.0,797.0,1423.0,38.0,14.0,24.0
30,49815.0,21918.0,27897.0,18458.0,8698.0,9760.0,31127.0,13130.0,17997.0,228.0,89.0,139.0,2.0,1.0,1.0
31,48710.0,21928.0,26782.0,13448.0,6435.0,7013.0,34891.0,15364.0,19527.0,364.0,126.0,238.0,7.0,3.0,4.0
32,44944.0,20467.0,24477.0,9568.0,4449.0,5119.0,34915.0,15862.0,19053.0,453.0,153.0,300.0,8.0,3.0,5.0
33,45454.0,21258.0,24196.0,7372.0,3455.0,3917.0,37503.0,17589.0,19914.0,571.0,211.0,360.0,8.0,3.0,5.0
34,40286.0,19345.0,20941.0,5198.0,2309.0,2889.0,34471.0,16814.0,17657.0,604.0,218.0,386.0,13.0,4.0,9.0
,,,,,,,,,,,,,,,
35-39岁,172772.0,88264.0,84508.0,14425.0,6342.0,8083.0,153998.0,80245.0,73753.0,4267.0,1659.0,2608.0,82.0,18.0,64.0
35,34364.0,16898.0,17466.0,3806.0,1709.0,2097.0,29887.0,14926.0,14961.0,663.0,263.0,400.0,8.0,0.0,8.0
36,34968.0,17634.0,17334.0,3203.0,1422.0,1781.0,31003.0,15926.0,15077.0,753.0,283.0,470.0,9.0,3.0,6.0
37,35162.0,17937.0,17225.0,2943.0,1310.0,1633.0,31316.0,16281.0,15035.0,887.0,342.0,545.0,16.0,4.0,12.0
38,38695.0,20089.0,18606.0,2720.0,1169.0,1551.0,34870.0,18486.0,16384.0,1082.0,426.0,656.0,23.0,8.0,15.0
39,29583.0,15706.0,13877.0,1753.0,732.0,1021.0,26922.0,14626.0,12296.0,882.0,345.0,537.0,26.0,3.0,23.0
,,,,,,,,,,,,,,,
40-44岁,94649.0,54286.0,40363.0,4312.0,1846.0,2466.0,87211.0,51210.0,36001.0,3008.0,1194.0,1814.0,118.0,36.0,82.0
40,24362.0,13333.0,11029.0,1242.0,545.0,697.0,22417.0,12504.0,9913.0,682.0,280.0,402.0,21.0,4.0,17.0
41,22693.0,12787.0,9906.0,1037.0,433.0,604.0,20945.0,12067.0,8878.0,685.0,281.0,404.0,26.0,6.0,20.0
42,18721.0,10844.0,7877.0,854.0,347.0,507.0,17216.0,10230.0,6986.0,626.0,256.0,370.0,25.0,11.0,14.0
43,15039.0,8893.0,6146.0,630.0,285.0,345.0,13873.0,8401.0,5472.0,512.0,201.0,311.0,24.0,6.0,18.0
44,13834.0,8429.0,5405.0,549.0,236.0,313.0,12760.0,8008.0,4752.0,503.0,176.0,327.0,22.0,9.0,13.0
,,,,,,,,,,,,,,,
45-49岁,56309.0,36075.0,20234.0,1777.0,760.0,1017.0,52155.0,34370.0,17785.0,2245.0,901.0,1344.0,132.0,44.0,88.0
45,12200.0,7714.0,4486.0,454.0,199.0,255.0,11281.0,7333.0,3948.0,450.0,179.0,271.0,15.0,3.0,12.0
46,11774.0,7503.0,4271.0,441.0,186.0,255.0,10856.0,7109.0,3747.0,447.0,198.0,249.0,30.0,10.0,20.0
47,11852.0,7517.0,4335.0,357.0,147.0,210.0,11031.0,7197.0,3834.0,441.0,164.0,277.0,23.0,9.0,14.0
48,10760.0,6938.0,3822.0,265.0,123.0,142.0,10000.0,6617.0,3383.0,458.0,188.0,270.0,37.0,10.0,27.0
49,9723.0,6403.0,3320.0,260.0,105.0,155.0,8987.0,6114.0,2873.0,449.0,172.0,277.0,27.0,12.0,15.0
,,,,,,,,,,,,,,,
50-54岁,34932.0,23899.0,11033.0,687.0,363.0,324.0,32514.0,22865.0,9649.0,1571.0,615.0,956.0,160.0,56.0,104.0
50,8913.0,5912.0,3001.0,232.0,122.0,110.0,8238.0,5615.0,2623.0,415.0,164.0,251.0,28.0,11.0,17.0
51,7765.0,5222.0,2543.0,140.0,65.0,75.0,7238.0,5014.0,2224.0,345.0,134.0,211.0,42.0,9.0,33.0
52,7430.0,5061.0,2369.0,151.0,77.0,74.0,6912.0,4850.0,2062.0,330.0,121.0,209.0,37.0,13.0,24.0
53,5033.0,3518.0,1515.0,75.0,39.0,36.0,4702.0,3383.0,1319.0,235.0,86.0,149.0,21.0,10.0,11.0
54,5791.0,4186.0,1605.0,89.0,60.0,29.0,5424.0,4003.0,1421.0,246.0,110.0,136.0,32.0,13.0,19.0
,,,,,,,,,,,,,,,
55-59岁,24652.0,18558.0,6094.0,254.0,165.0,89.0,23165.0,17855.0,5310.0,1030.0,464.0,566.0,203.0,74.0,129.0
55,6076.0,4463.0,1613.0,74.0,51.0,23.0,5713.0,4295.0,1418.0,247.0,101.0,146.0,42.0,16.0,26.0
56,6030.0,4479.0,1551.0,66.0,46.0,20.0,5659.0,4302.0,1357.0,253.0,116.0,137.0,52.0,15.0,37.0
57,6639.0,5104.0,1535.0,62.0,37.0,25.0,6217.0,4901.0,1316.0,299.0,138.0,161.0,61.0,28.0,33.0
58,3932.0,3009.0,923.0,32.0,17.0,15.0,3714.0,2912.0,802.0,153.0,71.0,82.0,33.0,9.0,24.0
59,1975.0,1503.0,472.0,20.0,14.0,6.0,1862.0,1445.0,417.0,78.0,38.0,40.0,15.0,6.0,9.0
,,,,,,,,,,,,,,,
60-64岁,8062.0,6303.0,1759.0,89.0,47.0,42.0,7506.0,6007.0,1499.0,321.0,181.0,140.0,146.0,68.0,78.0
60,1811.0,1426.0,385.0,18.0,11.0,7.0,1701.0,1362.0,339.0,76.0,46.0,30.0,16.0,7.0,9.0
61,1376.0,1079.0,297.0,16.0,13.0,3.0,1275.0,1028.0,247.0,57.0,26.0,31.0,28.0,12.0,16.0
62,1639.0,1280.0,359.0,18.0,11.0,7.0,1532.0,1223.0,309.0,52.0,29.0,23.0,37.0,17.0,20.0
63,1772.0,1385.0,387.0,22.0,8.0,14.0,1639.0,1320.0,319.0,66.0,36.0,30.0,45.0,21.0,24.0
64,1464.0,1133.0,331.0,15.0,4.0,11.0,1359.0,1074.0,285.0,70.0,44.0,26.0,20.0,11.0,9.0
,,,,,,,,,,,,,,,
65岁及以上,7950.0,6119.0,1831.0,70.0,28.0,42.0,7011.0,5624.0,1387.0,218.0,135.0,83.0,651.0,332.0,319.0
,,,,,,,,,,,,,,,
博士研究生,135442.0,82412.0,53030.0,45878.0,25752.0,20126.0,87126.0,55517.0,31609.0,2162.0,1013.0,1149.0,276.0,130.0,146.0
,,,,,,,,,,,,,,,
15-19岁,83.0,52.0,31.0,83.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,76.0,49.0,27.0,76.0,49.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
20-24岁,7062.0,3815.0,3247.0,6956.0,3765.0,3191.0,104.0,49.0,55.0,1.0,1.0,0.0,1.0,0.0,1.0
20,124.0,70.0,54.0,122.0,69.0,53.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,319.0,159.0,160.0,315.0,157.0,158.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1213.0,639.0,574.0,1201.0,633.0,568.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2055.0,1114.0,941.0,2038.0,1109.0,929.0,17.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
24,3351.0,1833.0,1518.0,3280.0,1797.0,1483.0,69.0,35.0,34.0,1.0,1.0,0.0,1.0,0.0,1.0
,,,,,,,,,,,,,,,
25-29岁,29764.0,16423.0,13341.0,24462.0,13659.0,10803.0,5275.0,2755.0,2520.0,27.0,9.0,18.0,0.0,0.0,0.0
25,5069.0,2753.0,2316.0,4869.0,2651.0,2218.0,198.0,102.0,96.0,2.0,0.0,2.0,0.0,0.0,0.0
26,5960.0,3208.0,2752.0,5512.0,2996.0,2516.0,446.0,212.0,234.0,2.0,0.0,2.0,0.0,0.0,0.0
27,6392.0,3476.0,2916.0,5451.0,3000.0,2451.0,937.0,473.0,464.0,4.0,3.0,1.0,0.0,0.0,0.0
28,6289.0,3531.0,2758.0,4754.0,2741.0,2013.0,1527.0,788.0,739.0,8.0,2.0,6.0,0.0,0.0,0.0
29,6054.0,3455.0,2599.0,3876.0,2271.0,1605.0,2167.0,1180.0,987.0,11.0,4.0,7.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
30-34岁,29153.0,16973.0,12180.0,10255.0,6021.0,4234.0,18703.0,10864.0,7839.0,189.0,84.0,105.0,6.0,4.0,2.0
30,6734.0,3841.0,2893.0,3508.0,2061.0,1447.0,3210.0,1769.0,1441.0,15.0,11.0,4.0,1.0,0.0,1.0
31,6160.0,3507.0,2653.0,2541.0,1483.0,1058.0,3587.0,2012.0,1575.0,32.0,12.0,20.0,0.0,0.0,0.0
32,5653.0,3295.0,2358.0,1878.0,1111.0,767.0,3736.0,2168.0,1568.0,38.0,15.0,23.0,1.0,1.0,0.0
33,5634.0,3336.0,2298.0,1372.0,813.0,559.0,4203.0,2499.0,1704.0,59.0,24.0,35.0,0.0,0.0,0.0
34,4972.0,2994.0,1978.0,956.0,553.0,403.0,3967.0,2416.0,1551.0,45.0,22.0,23.0,4.0,3.0,1.0
,,,,,,,,,,,,,,,
35-39岁,23773.0,14238.0,9535.0,2617.0,1477.0,1140.0,20676.0,12548.0,8128.0,472.0,212.0,260.0,8.0,1.0,7.0
35,4371.0,2655.0,1716.0,725.0,435.0,290.0,3575.0,2188.0,1387.0,70.0,31.0,39.0,1.0,1.0,0.0
36,4595.0,2747.0,1848.0,606.0,341.0,265.0,3920.0,2378.0,1542.0,68.0,28.0,40.0,1.0,0.0,1.0
37,4651.0,2743.0,1908.0,498.0,273.0,225.0,4060.0,2421.0,1639.0,91.0,49.0,42.0,2.0,0.0,2.0
38,5462.0,3269.0,2193.0,461.0,240.0,221.0,4878.0,2978.0,1900.0,123.0,51.0,72.0,0.0,0.0,0.0
39,4694.0,2824.0,1870.0,327.0,188.0,139.0,4243.0,2583.0,1660.0,120.0,53.0,67.0,4.0,0.0,4.0
,,,,,,,,,,,,,,,
40-44岁,17828.0,10952.0,6876.0,839.0,410.0,429.0,16508.0,10327.0,6181.0,459.0,204.0,255.0,22.0,11.0,11.0
40,4047.0,2466.0,1581.0,228.0,104.0,124.0,3727.0,2314.0,1413.0,89.0,47.0,42.0,3.0,1.0,2.0
41,4266.0,2576.0,1690.0,210.0,104.0,106.0,3946.0,2424.0,1522.0,106.0,47.0,59.0,4.0,1.0,3.0
42,3614.0,2208.0,1406.0,167.0,80.0,87.0,3342.0,2080.0,1262.0,102.0,47.0,55.0,3.0,1.0,2.0
43,3054.0,1891.0,1163.0,104.0,57.0,47.0,2853.0,1793.0,1060.0,90.0,37.0,53.0,7.0,4.0,3.0
44,2847.0,1811.0,1036.0,130.0,65.0,65.0,2640.0,1716.0,924.0,72.0,26.0,46.0,5.0,4.0,1.0
,,,,,,,,,,,,,,,
45-49岁,11604.0,7547.0,4057.0,376.0,191.0,185.0,10760.0,7166.0,3594.0,436.0,182.0,254.0,32.0,8.0,24.0
45,2512.0,1593.0,919.0,93.0,46.0,47.0,2322.0,1507.0,815.0,93.0,38.0,55.0,4.0,2.0,2.0
46,2454.0,1575.0,879.0,91.0,45.0,46.0,2275.0,1489.0,786.0,85.0,40.0,45.0,3.0,1.0,2.0
47,2478.0,1622.0,856.0,82.0,35.0,47.0,2280.0,1548.0,732.0,110.0,39.0,71.0,6.0,0.0,6.0
48,2159.0,1432.0,727.0,59.0,36.0,23.0,2020.0,1367.0,653.0,71.0,28.0,43.0,9.0,1.0,8.0
49,2001.0,1325.0,676.0,51.0,29.0,22.0,1863.0,1255.0,608.0,77.0,37.0,40.0,10.0,4.0,6.0
,,,,,,,,,,,,,,,
50-54岁,7306.0,5283.0,2023.0,164.0,100.0,64.0,6815.0,5027.0,1788.0,300.0,146.0,154.0,27.0,10.0,17.0
50,1824.0,1268.0,556.0,56.0,30.0,26.0,1672.0,1191.0,481.0,87.0,45.0,42.0,9.0,2.0,7.0
51,1535.0,1113.0,422.0,36.0,23.0,13.0,1426.0,1062.0,364.0,67.0,26.0,41.0,6.0,2.0,4.0
52,1549.0,1072.0,477.0,34.0,20.0,14.0,1447.0,1017.0,430.0,65.0,34.0,31.0,3.0,1.0,2.0
53,1077.0,797.0,280.0,15.0,10.0,5.0,1028.0,771.0,257.0,29.0,14.0,15.0,5.0,2.0,3.0
54,1321.0,1033.0,288.0,23.0,17.0,6.0,1242.0,986.0,256.0,52.0,27.0,25.0,4.0,3.0,1.0
,,,,,,,,,,,,,,,
55-59岁,5821.0,4652.0,1169.0,78.0,49.0,29.0,5527.0,4473.0,1054.0,178.0,110.0,68.0,38.0,20.0,18.0
55,1461.0,1148.0,313.0,18.0,15.0,3.0,1396.0,1102.0,294.0,42.0,28.0,14.0,5.0,3.0,2.0
56,1450.0,1129.0,321.0,20.0,10.0,10.0,1368.0,1088.0,280.0,53.0,26.0,27.0,9.0,5.0,4.0
57,1630.0,1320.0,310.0,16.0,12.0,4.0,1547.0,1265.0,282.0,52.0,37.0,15.0,15.0,6.0,9.0
58,859.0,705.0,154.0,17.0,11.0,6.0,817.0,679.0,138.0,21.0,12.0,9.0,4.0,3.0,1.0
59,421.0,350.0,71.0,7.0,1.0,6.0,399.0,339.0,60.0,10.0,7.0,3.0,5.0,3.0,2.0
,,,,,,,,,,,,,,,
60-64岁,1662.0,1380.0,282.0,20.0,9.0,11.0,1561.0,1318.0,243.0,61.0,40.0,21.0,20.0,13.0,7.0
60,374.0,316.0,58.0,5.0,3.0,2.0,352.0,303.0,49.0,14.0,9.0,5.0,3.0,1.0,2.0
61,280.0,233.0,47.0,3.0,2.0,1.0,266.0,224.0,42.0,8.0,4.0,4.0,3.0,3.0,0.0
62,322.0,267.0,55.0,4.0,3.0,1.0,298.0,251.0,47.0,16.0,12.0,4.0,4.0,1.0,3.0
63,387.0,313.0,74.0,8.0,1.0,7.0,360.0,298.0,62.0,16.0,11.0,5.0,3.0,3.0,0.0
64,299.0,251.0,48.0,0.0,0.0,0.0,285.0,242.0,43.0,7.0,4.0,3.0,7.0,5.0,2.0
,,,,,,,,,,,,,,,
65岁及以上,1386.0,1097.0,289.0,28.0,19.0,9.0,1197.0,990.0,207.0,39.0,25.0,14.0,122.0,63.0,59.0
