学校,学校排名,专业,最低分,最低分位次,录取人数,选科要求
吉利学院,,金融学类(成都校区.含经济与金融，金融科技专业),519分,141357名,2人,不限
吉利学院,,计算机类(成都校区.含计算机科学与技术，数据科学与大数据技术，网络工程，虚拟现实技术专业),518分,142395名,2人,物
吉利学院,,新能源汽车工程(成都校区),517分,143233名,2人,物
吉利学院,,车辆工程(成都校区),515分,146092名,2人,物
吉利学院,,飞行器制造工程(成都校区),510分,151139名,2人,物
丽江文化旅游学院,,护理学,534分,124896名,25人,不限
丽江文化旅游学院,,药学,533分,125479名,5人,物/化/生
丽江文化旅游学院,,汉语言文学,532分,126609名,5人,不限
丽江文化旅游学院,,小学教育,532分,127245名,8人,不限
丽江文化旅游学院,,助产学,527分,133030名,11人,不限
丽江文化旅游学院,,新闻学,524分,135906名,2人,不限
丽江文化旅游学院,,会计学,522分,137990名,5人,不限
丽江文化旅游学院,,汉语国际教育,519分,141891名,4人,不限
丽江文化旅游学院,,审计学,519分,141590名,4人,不限
丽江文化旅游学院,,秘书学,518分,142827名,2人,不限
丽江文化旅游学院,,学前教育,517分,144018名,5人,不限
丽江文化旅游学院,,财务管理,515分,145927名,4人,不限
丽江文化旅游学院,,网络与新媒体,515分,146450名,5人,不限
丽江文化旅游学院,,金融学,513分,148287名,4人,不限
丽江文化旅游学院,,经济学,513分,148149名,6人,不限
丽江文化旅游学院,,日语,513分,148121名,4人,不限
丽江文化旅游学院,,工商管理,511分,150325名,3人,不限
丽江文化旅游学院,,市场营销,511分,150773名,4人,不限
丽江文化旅游学院,,英语,511分,150962名,6人,不限
丽江文化旅游学院,,国际经济与贸易,511分,150083名,3人,不限
丽江文化旅游学院,,人力资源管理,510分,151553名,5人,不限
丽江文化旅游学院,,旅游管理,510分,151717名,12人,不限
丽江文化旅游学院,,泰语,510分,151866名,2人,不限
丽江文化旅游学院,,资产评估,509分,152852名,2人,不限
丽江文化旅游学院,,酒店管理,508分,153685名,10人,不限
丽江文化旅游学院,,休闲服务与管理,-,-,-,不限
丽江文化旅游学院,,酒店管理与数字化运营,-,-,-,不限
丽江文化旅游学院,,医学美容技术,-,-,-,不限
丽江文化旅游学院,,大数据与财务管理,-,-,-,不限
丽江文化旅游学院,,老年保健与管理,-,-,-,不限
丽江文化旅游学院,,大数据技术,-,-,-,不限
山东工艺美术学院,,文化产业管理(长清校区),549分,108175名,6人,不限
山东工艺美术学院,,工业设计(长清校区),535分,122863名,3人,物
山东工艺美术学院,,风景园林(长清校区),535分,122990名,3人,物
山东工艺美术学院,,服装设计与工程(长清校区),531分,127531名,3人,物
山东工艺美术学院,,包装工程(长清校区),530分,128694名,3人,物
山东工艺美术学院,,建筑学(长清校区),529分,130018名,7人,物
湘潭大学兴湘学院,,法学,552分,104820名,4人,不限
湘潭大学兴湘学院,,广告学,535分,122960名,3人,不限
湘潭大学兴湘学院,,计算机科学与技术,526分,133178名,4人,物
湘潭大学兴湘学院,,机械设计制造及其自动化,523分,137144名,4人,物
湖北商贸学院,,会计学(武汉校区),532分,127299名,2人,不限
湖北商贸学院,,工程管理(武汉校区),509分,152591名,2人,物
湖北商贸学院,,土木工程(BIM创新实验班)(武汉校区),508分,153597名,2人,物
湖北商贸学院,,工程造价(武汉校区),507分,154837名,2人,物
昆明城市学院,,汉语言文学(杨林校区),537分,121641名,4人,不限
昆明城市学院,,法学(杨林校区),537分,120941名,4人,不限
昆明城市学院,,小学教育(杨林校区),535分,123864名,4人,不限
昆明城市学院,,学前教育(杨林校区),528分,131013名,4人,不限
昆明城市学院,,应用心理学(杨林校区),527分,132928名,6人,不限
昆明城市学院,,会计学(杨林校区),525分,135067名,4人,不限
昆明城市学院,,网络与新媒体(海源校区),523分,137532名,4人,不限
昆明城市学院,,财务管理(杨林校区),522分,138375名,4人,不限
昆明城市学院,,经济学(杨林校区),517分,143885名,5人,不限
昆明城市学院,,金融学(杨林校区),517分,143541名,4人,不限
昆明城市学院,,英语(杨林校区),515分,146550名,4人,不限
昆明城市学院,,工商管理(杨林校区),515分,145530名,5人,不限
昆明城市学院,,电子商务(杨林校区),515分,146505名,8人,不限
郑州西亚斯学院,,工商管理(中外合作办学)(中方学费为26850元/学年/生:美方学位学分共34个，每学分1957元),519分,142064名,5人,不限
郑州西亚斯学院,,金融学(中外合作办学)(中方学费为26850元/学年/生，美方学位学分共34个，每学分1957元),518分,142715名,6人,不限
郑州西亚斯学院,,英语(中外合作办学)(中方学费为26850元/学年/生，美方学位学分共34个，每学分1957元),515分,146159名,7人,不限
郑州西亚斯学院,,国际经济与贸易(中外合作办学)(中方学费为26850元/学年/生，美方学位学分共34个，每学分1957元),515分,145779名,7人,不限
信阳农林学院,,会计学,557分,98597名,4人,不限
信阳农林学院,,财务管理,555分,100818名,4人,不限
信阳农林学院,,电子商务,546分,110842名,4人,不限
信阳农林学院,,网络工程,539分,118371名,3人,物
兰州信息科技学院,,英语(教育方向，商务方向),520分,140166名,2人,不限
兰州信息科技学院,,物流管理,519分,141805名,2人,不限
兰州信息科技学院,,财务管理,518分,143037名,4人,不限
兰州信息科技学院,,电子商务,515分,145825名,4人,不限
兰州信息科技学院,,市场营销,514分,146749名,4人,不限
兰州信息科技学院,,人力资源管理,512分,149615名,4人,不限
兰州信息科技学院,,软件工程,512分,149520名,2人,物
兰州信息科技学院,,计算机科学与技术,512分,149463名,2人,物
兰州信息科技学院,,电子信息工程,510分,151087名,4人,物
兰州信息科技学院,,大数据管理与应用,507分,154754名,2人,物
兰州信息科技学院,,金属材料工程,506分,155637名,2人,物
兰州信息科技学院,,食品科学与工程,506分,155813名,2人,物
兰州信息科技学院,,能源与动力工程,496分,166947名,2人,物
黑龙江东方学院,,电子商务,510分,151657名,5人,不限
黑龙江东方学院,,土木工程,498分,164016名,5人,物
武汉工商学院,,市场营销,488分,175424名,4人,不限
武汉工商学院,,国际经济与贸易,488分,175424名,5人,不限
武汉工商学院,,财富管理,488分,174824名,2人,不限
武汉工商学院,,电子商务,488分,175424名,9人,不限
武汉工商学院,,大数据与会计(人学时收取国际项目管理费1.5万元/人),488分,175424名,4人,不限
武汉工商学院,,计算机应用技术(新媒体技术),-,-,-,不限
武汉工商学院,,电子信息工程技术,-,-,-,物
武汉工商学院,,法学,542分,115565名,3人,不限
武汉工商学院,,广告学,539分,119086名,2人,史/政
武汉工商学院,,网络与新媒体,537分,121134名,2人,史/政
武汉工商学院,,电子商务,533分,125745名,2人,不限
武汉工商学院,,金融学,530分,128711名,2人,不限
武汉工商学院,,数字经济,527分,132482名,2人,不限
武汉工商学院,,工商管理(现代企业商业分析实验班),525分,134299名,5人,不限
武汉工商学院,,人力资源管理(数智化管理精英班),525分,134175名,5人,不限
武汉工商学院,,物流管理(智慧物流),522分,138057名,5人,不限
武汉工商学院,,国际商务(入学时收取国际项目管理费1.5万元/人),518分,142937名,4人,不限
武汉工商学院,,机器人工程(卓越智能实验班),517分,143658名,2人,物
武汉工商学院,,大数据管理与应用,516分,144405名,2人,物
武汉工商学院,,电子信息工程,516分,145210名,3人,物
武汉工商学院,,微电子科学与工程(人学时收取国际项目管理费1.5万元/人),514分,146893名,4人,物
武汉工商学院,,机械电子工程(机电创新实验班),513分,147841名,5人,物
武汉工商学院,,数据科学与大数据技术(人学时收取国际项目管理费1.5万元/人),513分,147950名,2人,物
南京理工大学泰州科技学院,,会计学,555分,100816名,5人,不限
南京理工大学泰州科技学院,,财务管理,551分,105100名,5人,不限
南京理工大学泰州科技学院,,审计学,550分,106808名,5人,不限
南京理工大学泰州科技学院,,制药工程,547分,110304名,5人,物/化/生
南京理工大学泰州科技学院,,英语,545分,112276名,5人,不限
南京理工大学泰州科技学院,,国际经济与贸易,543分,114117名,5人,不限
南京理工大学泰州科技学院,,经济与金融,543分,114948名,5人,不限
南京理工大学泰州科技学院,,工业工程,543分,113930名,5人,不限
南京理工大学泰州科技学院,,化学工程与工艺,542分,115580名,5人,物/化/生
南京理工大学泰州科技学院,,环境工程,541分,116634名,5人,物/化/生
南京理工大学泰州科技学院,,人力资源管理,540分,117931名,5人,不限
南京理工大学泰州科技学院,,市场营销,536分,122300名,5人,不限
南京理工大学泰州科技学院,,软件工程,533分,125680名,10人,物
南京理工大学泰州科技学院,,计算机科学与技术,533分,125103名,10人,物
南京理工大学泰州科技学院,,数据科学与大数据技术,532分,126771名,5人,物
南京理工大学泰州科技学院,,电气工程及其自动化,530分,128554名,5人,物
南京理工大学泰州科技学院,,电子信息工程,528分,131012名,10人,物
南京理工大学泰州科技学院,,自动化,527分,131928名,5人,物
南京理工大学泰州科技学院,,信息管理与信息系统,527分,132157名,5人,物
南京理工大学泰州科技学院,,电气工程与智能控制,527分,132387名,5人,物
南京理工大学泰州科技学院,,机器人工程,527分,131977名,5人,物
南京理工大学泰州科技学院,,机械工程,526分,133477名,5人,物
南京理工大学泰州科技学院,,机械电子工程,525分,134298名,5人,物
南京理工大学泰州科技学院,,工程管理,522分,137600名,5人,物
南京理工大学泰州科技学院,,土木工程,521分,139169名,10人,物
烟台南山学院,,康复治疗学(南山校区),540分,117987名,4人,物/化/生
烟台南山学院,,汉语国际教育(南山校区),527分,132701名,4人,不限
烟台南山学院,,物流管理(东海校区),524分,135706名,4人,不限
烟台南山学院,,复合材料与工程(东海校区),524分,136011名,5人,化
烟台南山学院,,英语(南山校区),523分,137166名,4人,不限
烟台南山学院,,工商管理(东海校区),523分,136573名,4人,不限
烟台南山学院,,交通运输(东海校区),523分,136559名,4人,物/化
烟台南山学院,,纺织工程(南山校区),523分,137234名,5人,物/化
烟台南山学院,,市场营销(东海校区),518分,142911名,4人,不限
烟台南山学院,,旅游管理(东海校区),518分,142842名,4人,不限
烟台南山学院,,自动化(东海校区),517分,143665名,5人,物
烟台南山学院,,机械设计制造及其自动化(东海校区),515分,145776名,4人,物
烟台南山学院,,人工智能(东海校区),513分,147826名,5人,物
烟台南山学院,,测控技术与仪器(东海校区),511分,150388名,4人,物
烟台南山学院,,材料成型及控制工程(东海校区),509分,152193名,5人,物
烟台南山学院,,金属材料工程(东海校区),503分,158953名,5人,物
烟台南山学院,,大数据与会计(东海校区),488分,175424名,4人,不限
烟台南山学院,,智慧健康养老服务与管理(南山校区),-,-,-,不限
烟台南山学院,,工商企业管理(东海校区),-,-,-,不限
烟台南山学院,,机电一体化技术(东海校区),-,-,-,不限
烟台南山学院,,电子商务(东海校区),-,-,-,不限
烟台南山学院,,工程造价(东海校区),-,-,-,不限
银川科技学院,,网络新闻与传播,499分,163956名,1人,不限
银川科技学院,,分布式发电与智能微电网技术,-,-,-,不限
银川科技学院,,计算机应用技术,-,-,-,不限
银川科技学院,,智能控制技术,-,-,-,不限
银川科技学院,,会计信息管理,-,-,-,不限
银川科技学院,,软件技术,-,-,-,不限
银川科技学院,,工程造价,-,-,-,不限
银川科技学院,,大数据与财务管理,-,-,-,不限
闽南理工学院,,财务管理(宝盖校区),537分,121570名,1人,不限
闽南理工学院,,人力资源管理(宝盖校区),536分,122767名,1人,不限
闽南理工学院,,审计学(宝盖校区),533分,126192名,1人,不限
闽南理工学院,,电气工程及其自动化(宝盖校区),528分,131190名,1人,物
闽南理工学院,,金融工程(宝盖校区),525分,135325名,1人,不限
闽南理工学院,,机械设计制造及其自动化(宝盖校区),524分,135399名,1人,物
闽南理工学院,,电子商务(宝盖校区),522分,138103名,1人,不限
闽南理工学院,,物联网工程(宝盖校区),513分,148492名,1人,物
山东现代学院,,护理学,539分,118905名,4人,不限
山东现代学院,,药学,539分,118867名,2人,物/化/生
山东现代学院,,康复治疗学,534分,124838名,4人,物/化/生
山东现代学院,,财务管理,528分,131744名,2人,不限
山东现代学院,,学前教育,527分,131955名,4人,不限
山东现代学院,,计算机科学与技术,508分,153301名,4人,物
三江学院,,知识产权(东山校区),545分,112604名,2人,不限
三江学院,,新闻学(东山校区),541分,117181名,2人,不限
三江学院,,英语(东山校区),539分,118627名,5人,不限
三江学院,,文化产业管理(东山校区),537分,121595名,3人,不限
三江学院,,网络与新媒体(东山校区),537分,120996名,2人,不限
三江学院,,风景园林,536分,122775名,5人,物/史
三江学院,,建筑学,535分,123316名,2人,物/史
三江学院,,投资学(东山校区),528分,131049名,8人,不限
三江学院,,市场营销(东山校区),527分,132223名,2人,不限
三江学院,,跨境电子商务(东山校区),527分,132731名,2人,不限
三江学院,,互联网金融(东山校区),526分,133308名,8人,不限
三江学院,,物流管理(东山校区),524分,136181名,2人,不限
三江学院,,计算机科学与技术(东山校区),523分,136526名,2人,物
三江学院,,网络空间安全(东山校区),521分,138965名,5人,物
武汉纺织大学外经贸学院,,会计学(注册会计师),537分,120940名,2人,不限
武汉纺织大学外经贸学院,,财务管理,529分,130610名,3人,不限
武汉纺织大学外经贸学院,,工商管理,523分,136794名,2人,不限
武汉纺织大学外经贸学院,,日语,522分,138354名,4人,不限
武汉纺织大学外经贸学院,,国际经济与贸易,521分,139697名,3人,不限
武汉纺织大学外经贸学院,,电子信息工程,521分,139098名,1人,物
武汉纺织大学外经贸学院,,市场营销,520分,140633名,3人,不限
武汉纺织大学外经贸学院,,英语,520分,140314名,5人,不限
武汉纺织大学外经贸学院,,跨境电子商务,519分,142100名,4人,不限
武汉纺织大学外经贸学院,,计算机科学与技术,513分,148460名,3人,物
武汉纺织大学外经贸学院,,软件工程,513分,148497名,1人,物
武汉纺织大学外经贸学院,,电气工程及其自动化,512分,148877名,2人,物
武汉纺织大学外经贸学院,,机械设计制造及其自动化,511分,150226名,2人,物
武汉纺织大学外经贸学院,,机电一体化技术,488分,175424名,4人,不限
武汉纺织大学外经贸学院,,现代物流管理,488分,175424名,2人,不限
武汉纺织大学外经贸学院,,市场营销,488分,175424名,3人,不限
武汉纺织大学外经贸学院,,大数据与会计,488分,175424名,2人,不限
武汉纺织大学外经贸学院,,应用英语,488分,175424名,4人,不限
武汉纺织大学外经贸学院,,计算机应用技术,488分,175424名,4人,不限
武汉纺织大学外经贸学院,,跨境电子商务,-,-,-,不限
武汉纺织大学外经贸学院,,软件技术,-,-,-,不限
武汉纺织大学外经贸学院,,国际经济与贸易,-,-,-,不限
沧州交通学院,,交通运输,525分,134221名,12人,物/化/技
沧州交通学院,,财务管理,523分,137374名,12人,不限
沧州交通学院,,工商管理,521分,139600名,12人,不限
沧州交通学院,,物流管理,521分,139562名,12人,不限
沧州交通学院,,英语,520分,140499名,12人,不限
沧州交通学院,,电子商务,519分,141163名,10人,不限
合肥城市学院,,建筑学(滨湖校区),543分,114650名,2人,物/史/地
合肥城市学院,,财务管理(滨湖校区),542分,115228名,2人,不限
合肥城市学院,,风景园林(滨湖校区),537分,121037名,2人,物/史/地
合肥城市学院,,资产评估(滨湖校区),534分,124716名,2人,不限
合肥城市学院,,市场营销(滨湖校区),531分,127808名,2人,不限
合肥城市学院,,城市管理(滨湖校区),530分,129116名,2人,不限
合肥城市学院,,机械设计制造及其自动化(北城校区),528分,130905名,3人,物
合肥城市学院,,机械电子工程(北城校区),526分,133085名,2人,物
合肥城市学院,,物联网工程(北城校区),524分,135407名,2人,物
合肥城市学院,,电气工程及其自动化(北城校区),522分,137588名,2人,物
合肥城市学院,,工程管理(滨湖校区),518分,142324名,2人,物
合肥城市学院,,城乡规划(滨湖校区),518分,142365名,2人,物
合肥城市学院,,汽车服务工程(北城校区),516分,144529名,2人,物
合肥城市学院,,建筑环境与能源应用工程(滨湖校区),513分,148338名,2人,物
合肥城市学院,,智能建造(滨湖校区),512分,149082名,2人,物
绍兴文理学院,,康复治疗学,570分,84740名,20人,物/化/生
牡丹江医学院,,临床医学,567分,87494名,7人,化+生
牡丹江医学院,,麻醉学,566分,88555名,4人,化+生
牡丹江医学院,,预防医学,565分,89522名,2人,物/化/生
牡丹江医学院,,护理学,562分,93176名,2人,不限
牡丹江医学院,,医学影像学,560分,95026名,5人,物+生
牡丹江医学院,,医学检验技术,557分,98833名,2人,化+生
牡丹江医学院,,卫生检验与检疫,554分,101834名,2人,物/化/生
牡丹江医学院,,康复治疗学,553分,102791名,2人,物/化/生
牡丹江医学院,,药学,553分,103323名,2人,化
牡丹江医学院,,医学影像技术,552分,103922名,2人,物
牡丹江医学院,,应用心理学,549分,108027名,2人,不限
牡丹江医学院,,制药工程,547分,109697名,2人,化
牡丹江医学院,,药物制剂,542分,115453名,2人,化
牡丹江医学院,,生物医学工程,536分,121713名,2人,物
汉口学院,,法学,542分,115835名,8人,不限
汉口学院,,网络与新媒体,537分,121668名,5人,不限
汉口学院,,英语,522分,138653名,5人,不限
长春光华学院,,应用韩语(武汉路校区),-,-,-,不限
长春光华学院,,商务数据分析与应用(武汉路校区),-,-,-,不限
长春光华学院,,大数据技术(武汉路校区),-,-,-,不限
长春光华学院,,社会工作(武汉路校区),-,-,-,不限
长春光华学院,,国际邮轮乘务管理(武汉路校区),-,-,-,不限
长春光华学院,,智能机电技术(武汉路校区),-,-,-,不限
长春光华学院,,小学教育(武汉路校区),532分,126942名,2人,不限
长春光华学院,,汉语言文学(武汉路校区),530分,128722名,5人,不限
长春光华学院,,应用心理学(武汉路校区),523分,136984名,6人,不限
长春光华学院,,学前教育(武汉路校区),518分,143004名,5人,不限
长春光华学院,,新闻学(武汉路校区),517分,144136名,4人,不限
长春光华学院,,会计学(武汉路校区),515分,146175名,14人,不限
长春光华学院,,秘书学(武汉路校区),514分,147263名,6人,不限
长春光华学院,,财务管理(武汉路校区),514分,147388名,6人,不限
长春光华学院,,电子商务(武汉路校区),510分,151805名,9人,不限
长春光华学院,,工商管理(武汉路校区),510分,151900名,7人,不限
长春光华学院,,广告学(武汉路校区),510分,151105名,8人,不限
长春光华学院,,经济学(武汉路校区),509分,152374名,6人,不限
长春光华学院,,日语(武汉路校区),508分,153935名,4人,不限
长春光华学院,,商务英语(武汉路校区),507分,155210名,6人,不限
长春光华学院,,金融学(武汉路校区),506分,156038名,25人,不限
长春光华学院,,国际经济与贸易(武汉路校区),506分,156115名,14人,不限
长春光华学院,,市场营销(武汉路校区),506分,155608名,5人,不限
长春光华学院,,旅游管理(武汉路校区),506分,155666名,6人,不限
长春光华学院,,朝鲜语(武汉路校区),505分,156776名,3人,不限
长春光华学院,,俄语(武汉路校区),505分,157449名,5人,不限
长春光华学院,,英语(武汉路校区),505分,156672名,10人,不限
长春光华学院,,计算机科学与技术(武汉路校区),505分,156779名,10人,物
长春光华学院,,物联网工程(武汉路校区),504分,158184名,8人,物
青岛工学院,,汉语言文学,537分,121368名,6人,不限
青岛工学院,,审计学,528分,131216名,2人,不限
青岛工学院,,知识产权,527分,132657名,6人,不限
青岛工学院,,食品科学与工程,525分,134927名,7人,物/化/生
青岛工学院,,食品质量与安全,524分,136172名,6人,物/化/生
青岛工学院,,化学工程与工业生物工程,523分,136644名,6人,物/化/生
青岛工学院,,财务管理,522分,138565名,6人,不限
青岛工学院,,人力资源管理,522分,137860名,2人,不限
青岛工学院,,食品营养与检验教育,522分,137863名,8人,物/化/生
青岛工学院,,国际商务,521分,139363名,4人,不限
青岛工学院,,工商管理,520分,140711名,2人,不限
青岛工学院,,市场营销,519分,141983名,2人,不限
青岛工学院,,物流管理,519分,141791名,4人,不限
青岛工学院,,电子商务,519分,141464名,4人,不限
青岛工学院,,英语,518分,142436名,3人,不限
青岛工学院,,金融工程,517分,143462名,4人,不限
青岛工学院,,日语,516分,145240名,3人,不限
青岛工学院,,德语,512分,149029名,4人,不限
青岛工学院,,信息安全,510分,151098名,4人,物
青岛工学院,,工业设计,509分,152512名,4人,物
青岛工学院,,俄语,507分,154486名,3人,不限
兰州工商学院,,法学,529分,130615名,4人,史/政
兰州工商学院,,会计学,524分,136081名,4人,物/史/政
兰州工商学院,,审计学,523分,136796名,2人,物/史/政
兰州工商学院,,财务管理,516分,144346名,4人,物/史/政
兰州工商学院,,信用管理,515分,145753名,5人,物/史/政
兰州工商学院,,财政学,514分,147648名,3人,物/史/政
兰州工商学院,,物流管理,511分,150362名,4人,物/史/政
兰州工商学院,,金融学,511分,150283名,6人,物/史/政
兰州工商学院,,资产评估,509分,153011名,4人,物/史/政
兰州工商学院,,土木工程,504分,157568名,5人,物
兰州工商学院,,工程管理,503分,158896名,5人,物
湖北医药学院药护学院,,临床医学,561分,93767名,3人,化+生
湖北医药学院药护学院,,预防医学,552分,103955名,3人,物/化/生
景德镇艺术职业大学,,网络营销与直播电商,-,-,-,不限
景德镇艺术职业大学,,婴幼儿托育服务与管理,-,-,-,不限
景德镇艺术职业大学,,法律,540分,118272名,2人,政
景德镇艺术职业大学,,大数据与财务管理,531分,127790名,2人,不限
景德镇艺术职业大学,,现代物流管理,526分,133860名,2人,不限
景德镇艺术职业大学,,电子商务,523分,137537名,2人,不限
景德镇艺术职业大学,,日语,523分,137451名,2人,不限
景德镇艺术职业大学,,应用英语,520分,140644名,2人,不限
景德镇艺术职业大学,,生态环境工程技术,520分,140852名,2人,物/化
景德镇艺术职业大学,,计算机应用工程,516分,144924名,2人,物
景德镇艺术职业大学,,机械设计制造及自动化,514分,146597名,2人,物
云南经济管理学院,,医学检验技术(海源校区),488分,175424名,6人,不限
云南经济管理学院,,人工智能技术应用(安宁校区),488分,175424名,4人,不限
云南经济管理学院,,数字媒体艺术设计(安宁校区),-,-,-,不限
云南经济管理学院,,高速铁路客运服务(安宁校区),-,-,-,不限
云南经济管理学院,,大数据与会计(安宁校区),-,-,-,不限
云南经济管理学院,,康复治疗技术(海源校区),-,-,-,不限
云南经济管理学院,,现代通信技术(安宁校区),-,-,-,不限
云南经济管理学院,,学前教育(安宁校区),-,-,-,不限
云南经济管理学院,,应用英语(安宁校区),-,-,-,不限
云南经济管理学院,,工程造价(安宁校区),-,-,-,不限
云南经济管理学院,,药学(海源校区),-,-,-,不限
云南经济管理学院,,电子商务(安宁校区),-,-,-,不限
云南经济管理学院,,护理学(海源校区),539分,118906名,2人,史/化/生
云南经济管理学院,,医学检验技术(海源校区),538分,119746名,2人,物/化/生
云南经济管理学院,,汉语言文学(安宁校区),528分,131509名,2人,不限
云南经济管理学院,,会计学(安宁校区),524分,136029名,2人,不限
云南经济管理学院,,建筑学(安宁校区),524分,135369名,2人,物/史/技
云南经济管理学院,,财务管理(安宁校区),520分,140440名,4人,不限
云南经济管理学院,,物流管理(安宁校区),518分,142412名,2人,不限
云南经济管理学院,,贸易经济(安宁校区),517分,143768名,2人,不限
云南经济管理学院,,电子商务(安宁校区),514分,147080名,4人,不限
云南经济管理学院,,数学与应用数学(安宁校区),513分,148183名,2人,物
云南经济管理学院,,水利水电工程(安宁校区),510分,152001名,2人,物
云南经济管理学院,,虚拟现实技术(安宁校区),507分,154573名,2人,物
云南经济管理学院,,人工智能(安宁校区),507分,154849名,2人,物
云南经济管理学院,,物联网工程(安宁校区),507分,154543名,2人,物
云南经济管理学院,,软件工程(安宁校区),505分,157017名,4人,物
大连理工大学城市学院,,网络工程,536分,121915名,1人,物
大连理工大学城市学院,,网络与新媒体,534分,124556名,2人,不限
大连理工大学城市学院,,广播电视学,530分,129195名,2人,不限
大连理工大学城市学院,,物流管理,528分,131396名,1人,不限
大连理工大学城市学院,,地理空间信息工程,528分,131571名,1人,物
大连理工大学城市学院,,物联网工程,528分,131783名,1人,物
大连理工大学城市学院,,工商管理,524分,135719名,1人,不限
大连理工大学城市学院,,市场营销,524分,135667名,2人,不限
大连理工大学城市学院,,英语,523分,136911名,2人,不限
大连理工大学城市学院,,数字媒体技术,523分,136948名,1人,物
大连理工大学城市学院,,跨境电子商务,522分,137680名,1人,不限
大连理工大学城市学院,,日语,521分,139610名,2人,不限
大连理工大学城市学院,,电气工程及其自动化,520分,139987名,1人,物
大连理工大学城市学院,,工程造价,519分,141056名,1人,物
大连理工大学城市学院,,计算机科学与技术,519分,141238名,1人,物
大连理工大学城市学院,,虚拟现实技术,517分,143657名,1人,物
大连理工大学城市学院,,软件工程,514分,146696名,3人,物
大连理工大学城市学院,,信息管理与信息系统,514分,147106名,2人,物
大连理工大学城市学院,,风景园林,514分,146993名,1人,物
大连理工大学城市学院,,大数据管理与应用,514分,146740名,1人,物
大连理工大学城市学院,,建筑学,513分,148525名,1人,物
大连理工大学城市学院,,电子信息工程,513分,148253名,2人,物
大连理工大学城市学院,,通信工程,513分,147770名,2人,物
大连理工大学城市学院,,土木工程,513分,148127名,2人,物
大连理工大学城市学院,,自动化,513分,148378名,3人,物
大连理工大学城市学院,,数据科学与大数据技术,513分,148228名,1人,物
大连理工大学城市学院,,测绘工程,512分,149044名,1人,物
武汉工程大学邮电与信息工程学院,,法学,543分,114885名,6人,不限
武汉工程大学邮电与信息工程学院,,高分子材料与工程,537分,121124名,2人,化
武汉工程大学邮电与信息工程学院,,高分子材料与工程(光电信息材料方向),533分,125973名,4人,化
武汉工程大学邮电与信息工程学院,,软件工程(大数据与云计算方向),529分,129782名,2人,物
武汉工程大学邮电与信息工程学院,,国际经济与贸易(跨境电商方向),525分,134746名,3人,不限
武汉工程大学邮电与信息工程学院,,计算机科学与技术,525分,134672名,8人,物
武汉工程大学邮电与信息工程学院,,英语,524分,136385名,3人,不限
武汉工程大学邮电与信息工程学院,,计算机科学与技术(AI方向),524分,135810名,3人,物
武汉工程大学邮电与信息工程学院,,软件工程,523分,136981名,6人,物
武汉工程大学邮电与信息工程学院,,自动化(AI方向),521分,139453名,2人,物
武汉工程大学邮电与信息工程学院,,自动化(物联网方向),521分,138772名,2人,物
武汉工程大学邮电与信息工程学院,,通信工程(移动通信方向),520分,140415名,2人,物
武汉工程大学邮电与信息工程学院,,过程装备与控制工程(数字化制造方向),515分,145646名,2人,物
绍兴文理学院元培学院,,法学,550分,106915名,43人,不限
绍兴文理学院元培学院,,护理学,549分,107842名,80人,不限
绍兴文理学院元培学院,,中国语言文学类(一年后自主选择分流.含汉语言文学，传播学专业),548分,109165名,59人,不限
绍兴文理学院元培学院,,会计学,543分,114239名,38人,不限
绍兴文理学院元培学院,,财务管理,540分,118188名,25人,不限
绍兴文理学院元培学院,,英语,539分,119285名,19人,不限
绍兴文理学院元培学院,,药学,539分,118743名,74人,化/生/技
绍兴文理学院元培学院,,电子商务,538分,120185名,36人,不限
绍兴文理学院元培学院,,园林,537分,121394名,35人,化/生/技
绍兴文理学院元培学院,,工商管理,535分,123130名,20人,不限
绍兴文理学院元培学院,,国际经济与贸易,535分,123019名,40人,不限
绍兴文理学院元培学院,,翻译,534分,124986名,26人,不限
绍兴文理学院元培学院,,数据科学与大数据技术,528分,130843名,19人,物
绍兴文理学院元培学院,,纺织类(一年后自主选择分流含纺织工程，服装设计与工程专业),528分,131255名,66人,物/化/技
绍兴文理学院元培学院,,电子信息工程,518分,142459名,39人,物
绍兴文理学院元培学院,,计算机类(一年后自主选择分流.含计算机科学与技术，网络工程专业),518分,142272名,35人,物
绍兴文理学院元培学院,,机械类(一年后自主选择分流含机械设计制造及其自动化自动化专业),517分,143483名,51人,物
绍兴文理学院元培学院,,管理科学与工程类(一年后自主选择分流.含工程管理，工程造价专业),516分,144595名,35人,物
绍兴文理学院元培学院,,土木工程,514分,146624名,40人,物
绍兴文理学院,,药学,570分,84431名,50人,物/化/生
南京师范大学中北学院,,汉语言文学,566分,88860名,2人,不限
南京师范大学中北学院,,眼视光学,534分,124004名,3人,物
长春科技学院,,动物医学(东华大街校区),496分,166624名,3人,不限
长春科技学院,,中药学(东华大街校区),491分,171905名,3人,不限
长春科技学院,,口腔医学(东华大街校区),488分,175424名,60人,不限
长春科技学院,,数字媒体技术(东华大街校区),488分,175424名,4人,不限
长春科技学院,,药学(东华大街校区),-,-,-,不限
长春科技学院,,学前教育(东华大街校区),-,-,-,不限
长春科技学院,,护理(东华大街校区),-,-,-,不限
长春科技学院,,体育教育(东华大街校区),-,-,-,不限
长春科技学院,,护理学(东华大街校区),536分,121895名,10人,不限
