4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
其他橡胶和塑料制品生产人员,16162,19.0,29.0,328.0,93.0,114.0,4109,519.0,2802,8149,51
纺织、针织、印染人员,201950,347.0,721.0,4979.0,1197.0,1238.0,42382,7326.0,32835,110925,52
纤维预处理人员,9724,20.0,55.0,310.0,71.0,68.0,2278,296.0,1553,5073,51
纺纱人员,36425,110.0,144.0,1053.0,236.0,216.0,8899,1423.0,5319,19025,50
织造人员,49350,68.0,175.0,1415.0,320.0,334.0,10814,1775.0,7636,26813,52
针织人员,49111,63.0,139.0,1263.0,307.0,380.0,9778,1934.0,7903,27344,53
印染人员,35988,49.0,125.0,483.0,136.0,133.0,5730,1029.0,6161,22142,56
其他纺织、针织、印染人员,21352,37.0,83.0,455.0,127.0,107.0,4883,869.0,4263,10528,51
裁剪、缝纫和皮革制品加工制作人员,604827,906.0,1980.0,15409.0,3804.0,4150.0,109974,23114.0,94313,351177,53
裁剪、缝纫人员,352390,585.0,1175.0,9024.0,2182.0,2493.0,64585,13273.0,53115,205958,53
鞋帽制作人员,160282,150.0,414.0,3339.0,868.0,945.0,26925,5957.0,26313,95371,53
皮革、毛皮加工人员,48181,83.0,243.0,1914.0,420.0,418.0,10110,2175.0,8275,24543,50
缝纫制品再加工人员,13804,22.0,65.0,348.0,111.0,101.0,2678,595.0,1930,7954,52
其他裁剪、缝纫和皮革、毛皮制品加工制作人员,30170,66.0,83.0,784.0,223.0,193.0,5676,1114.0,4680,17351,52
粮油、食品、饮料生产加工及饲料生产加工人员,225768,612.0,1714.0,14171.0,3975.0,2441.0,59188,10652.0,24817,108198,49
粮油生产加工人员,39747,127.0,487.0,3574.0,755.0,503.0,9461,2020.0,3648,19172,48
制糖和糖制品加工人员,9775,25.0,42.0,300.0,203.0,72.0,4188,379.0,1106,3460,47
乳品、冷仪器及罐头、饮料制作人员,17434,47.0,69.0,619.0,146.0,134.0,5523,736.0,2638,7522,49
酿酒、食品添加剂及调味品制作人员,28607,69.0,95.0,988.0,370.0,287.0,10466,1199.0,4190,10943,47
粮油食品制作人员,48625,123.0,373.0,2975.0,796.0,477.0,10559,2224.0,4867,26231,50
屠宰加工人员,34661,98.0,340.0,3153.0,999.0,463.0,7535,2037.0,2801,17235,48
肉、蛋食品加工人员,13262,36.0,76.0,639.0,193.0,121.0,2863,558.0,1730,7046,50
饲料生产加工人员,8402,31.0,77.0,450.0,111.0,119.0,2379,336.0,1051,3848,48
其他粮油、食品、饮料生产加工及饲料生产加工人员,25255,56.0,155.0,1473.0,402.0,265.0,6214,1163.0,2786,12741,49
烟草及其制品加工人员,9766,30.0,33.0,293.0,139.0,59.0,5391,290.0,1239,2292,44
原烟复烤人员,2447,9.0,15.0,126.0,51.0,20.0,901,124.0,212,989,47
卷烟生产人员,5557,8.0,13.0,119.0,54.0,26.0,3512,128.0,816,881,43
烟用醋酸纤维丝束滤棒制作人员,201,1.0,,8.0,2.0,1.0,105,7.0,41,36,44
其他烟草及其制品加工人员,1561,12.0,5.0,40.0,32.0,12.0,873,31.0,170,386,44
药品生产人员,28438,68.0,47.0,438.0,248.0,287.0,13692,893.0,5051,7714,46
合成药物制造人员,9899,18.0,17.0,165.0,91.0,96.0,4859,305.0,1659,2689,46
生物技术制药（品）人员,3603,8.0,2.0,47.0,29.0,30.0,1789,111.0,801,786,45
药物制剂人员,5032,10.0,5.0,56.0,35.0,66.0,2584,133.0,825,1318,46
中药制药人员,4412,19.0,9.0,80.0,40.0,42.0,2063,154.0,706,1299,46
其他药品生产人员,5492,13.0,14.0,90.0,53.0,53.0,2397,190.0,1060,1622,46
"木材加工、人造板生产、木制品制作及制浆、
造纸和纸制品生产加工人员",523011,1033.0,2270.0,21226.0,4545.0,5174.0,111275,22599.0,70252,284637,50
木材加工人员,151473,367.0,869.0,7702.0,1728.0,1814.0,31380,7142.0,17359,83112,50
人造板生产人员,39087,80.0,212.0,1956.0,342.0,420.0,8047,1769.0,5207,21054,50
木材制品制作人员,247329,415.0,937.0,8933.0,1837.0,2184.0,50663,10247.0,33034,139079,51
制浆人员,5586,14.0,12.0,112.0,35.0,31.0,1699,133.0,830,2720,49
造纸人员,24433,36.0,63.0,585.0,192.0,233.0,7179,937.0,4213,10995,49
纸制品制作人员,28360,29.0,66.0,686.0,181.0,209.0,6621,1113.0,5865,13590,50
"其他木材加工、人造板生产、木制品制作及制浆、
造纸和纸制品生产加工人员",26743,92.0,111.0,1252.0,230.0,283.0,5686,1258.0,3744,14087,50
建筑材料生产加工人员,259007,611.0,1218.0,11572.0,2450.0,2630.0,58575,10910.0,29119,141922,50
水泥及水泥制品生产加工人员,86689,209.0,405.0,3851.0,743.0,833.0,22424,3472.0,10704,44048,49
墙体屋面材料生产人员,66979,178.0,339.0,3248.0,725.0,750.0,14020,3051.0,6850,37818,50
建筑防水密封材料生产人员,3880,7.0,17.0,171.0,40.0,38.0,949,121.0,458,2079,50
建筑保温及吸音材料生产人员,3836,15.0,22.0,195.0,38.0,38.0,953,121.0,449,2005,50
装饰石材生产人员,35610,45.0,131.0,1234.0,284.0,314.0,6141,1648.0,3738,22075,51
非金属矿及其制品生产加工人员,9325,11.0,48.0,469.0,115.0,101.0,2118,433.0,914,5116,50
耐火材料生产人员,12320,48.0,34.0,360.0,67.0,90.0,2653,391.0,1702,6975,50
其他建筑材料生产加工人员,40368,98.0,222.0,2044.0,438.0,466.0,9317,1673.0,4304,21806,50
玻璃、陶瓷、搪瓷及其制品生产加工人员,102997,214.0,234.0,2735.0,747.0,854.0,23518,4078.0,16533,54084,50
玻璃熔制人员,30902,54.0,67.0,893.0,231.0,216.0,8084,1038.0,5103,15216,50
玻璃纤维及其制品生产人员,11610,21.0,25.0,282.0,76.0,88.0,3246,523.0,2096,5253,49
石英玻璃制品加工人员,3238,6.0,9.0,104.0,21.0,6.0,752,117.0,593,1630,50
陶瓷制品生产人员,45147,114.0,104.0,1123.0,327.0,444.0,8578,1832.0,6942,25683,51
搪瓷制品生产人员,1482,3.0,1.0,37.0,7.0,18.0,320,53.0,234,809,51
其他玻璃、陶瓷、搪瓷及其制品生产加工人员,10618,16.0,28.0,296.0,85.0,82.0,2538,515.0,1565,5493,50
广播影视制品制作、播放及文物保护作业人员,13117,48.0,78.0,507.0,225.0,116.0,7331,406.0,1267,3139,44
影视制品制作人员,2363,4.0,10.0,80.0,23.0,16.0,1329,69.0,264,568,45
音像制品制作、复制人员,2458,11.0,18.0,106.0,41.0,24.0,1334,93.0,201,630,44
广播影视舞台设备安装调试及运行操作人员,4200,15.0,20.0,148.0,90.0,43.0,2474,107.0,418,885,44
电影放映人员,1763,11.0,16.0,103.0,32.0,15.0,1015,48.0,156,367,43
文物保护作业人员,224,2.0,1.0,4.0,4.0,2.0,111,17.0,10,73,45
其他广播影视制品制作、播放及文物保护作业人员,2109,5.0,13.0,66.0,35.0,16.0,1068,72.0,218,616,46
印刷人员,65230,67.0,172.0,1304.0,390.0,440.0,21024,2200.0,12643,26990,49
印前处理人员,9610,20.0,28.0,186.0,66.0,72.0,3325,311.0,1826,3776,48
印刷操作人员,43242,41.0,108.0,821.0,256.0,294.0,13650,1485.0,8583,18004,49
印后制作人员,6465,4.0,16.0,140.0,25.0,37.0,1961,222.0,1205,2855,49
其他印刷人员,5913,2.0,20.0,157.0,43.0,37.0,2088,182.0,1029,2355,49
工艺、美术品制作人员,139318,259.0,553.0,5078.0,1135.0,1251.0,30026,6153.0,23449,71414,50
珠宝首饰加工制作人员,15313,24.0,50.0,328.0,101.0,145.0,2927,704.0,3483,7551,51
地毯制作人员,2478,6.0,13.0,110.0,20.0,20.0,656,106.0,332,1215,49
玩具制作人员,42981,90.0,133.0,1130.0,316.0,369.0,10913,1986.0,8612,19432,49
漆器工艺品制作人员,16037,26.0,56.0,643.0,121.0,142.0,3272,700.0,2502,8575,51
抽纱、剌绣工艺品制作人员,5743,8.0,39.0,259.0,60.0,48.0,894,246.0,738,3451,53
金属工艺品制作人员,8426,6.0,35.0,273.0,54.0,58.0,1895,353.0,1560,4192,50
雕刻工艺品制作人员,18514,54.0,103.0,879.0,211.0,178.0,3363,794.0,2243,10689,50
美术品制作,4635,5.0,18.0,140.0,24.0,39.0,1248,165.0,706,2290,51
其他工艺、美术品制作人员,25191,40.0,106.0,1316.0,228.0,252.0,4858,1099.0,3273,14019,51
文化教育、体育用品制作人员,17235,48.0,29.0,380.0,93.0,93.0,4916,558.0,3947,7171,49
文教用品制作人员,6316,19.0,13.0,213.0,39.0,45.0,1630,225.0,1387,2745,49
体育用品制作人员,6247,19.0,8.0,59.0,25.0,21.0,1808,192.0,1693,2422,49
乐器制作人员,2414,4.0,7.0,52.0,10.0,18.0,779,84.0,477,983,49
其他文化教育、体育用品制作人员,2258,6.0,1.0,56.0,19.0,9.0,699,57.0,390,1021,49
工程施工人员,2530782,5576.0,12665.0,120038.0,24272.0,25922.0,537035,107143.0,258629,1439502,50
土石方施工人员,161384,461.0,1000.0,8650.0,1843.0,1671.0,36421,6805.0,16351,88182,50
砌筑人员,1234720,2791.0,6754.0,64585.0,12172.0,13561.0,245694,54082.0,119160,715921,50
混凝土配制及制品加工人员,151424,397.0,791.0,8125.0,1654.0,1651.0,31097,6707.0,15860,85142,50
钢筋加工人员,138640,229.0,541.0,5043.0,1148.0,1256.0,28276,5849.0,13806,82492,51
施工架子搭设人员,58823,119.0,277.0,2481.0,439.0,584.0,11594,2395.0,5778,35156,51
工程防水人员,15079,56.0,100.0,748.0,130.0,155.0,3899,634.0,1552,7805,49
装饰、装修人员,551920,1088.0,2212.0,22111.0,4790.0,5142.0,115527,22377.0,62298,316375,51
古建筑修建人员,3015,7.0,16.0,146.0,28.0,37.0,761,129.0,290,1601,49
筑路、养护、维修人员,57373,140.0,217.0,1751.0,611.0,450.0,22552,2054.0,5899,23699,48
工程设备安装人员,52834,110.0,206.0,1488.0,466.0,357.0,15856,1855.0,6795,25701,49
其他工程施工人员,105570,178.0,551.0,4910.0,991.0,1058.0,25358,4256.0,10840,57428,50
运输设备操作人员及有关人员,1701795,3405.0,7968.0,71221.0,20155.0,15606.0,502358,63040.0,174274,843768,50
公(道)路运输机械设备操作及有关人员,1546841,3082.0,7361.0,66051.0,18652.0,14011.0,442362,57963.0,156519,780840,50
铁路、地铁运输机械设备操作及有关人员,43685,83.0,87.0,899.0,406.0,542.0,26362,1237.0,4630,9439,45
民用航空设备操作及有关人员,2611,7.0,18.0,85.0,31.0,24.0,1289,81.0,258,818,46
水上运输设备操作及有关人员,16637,24.0,88.0,660.0,167.0,185.0,4985,600.0,1508,8420,50
起重装卸机械操作及有关人员,51716,109.0,184.0,1555.0,385.0,433.0,17169,1580.0,7255,23046,49
其他运输设备操作人员及有关人员,40305,100.0,230.0,1971.0,514.0,411.0,10191,1579.0,4104,21205,50
环境监测与废物处理人员,14590,40.0,62.0,524.0,231.0,144.0,6059,530.0,1662,5338,47
环境监测人员,3303,6.0,6.0,62.0,77.0,33.0,2261,65.0,247,546,43
海洋环境调查与监测人员,504,,2.0,14.0,7.0,5.0,234,20.0,46,176,47
废物处理人员,9123,29.0,44.0,388.0,120.0,85.0,2863,372.0,1200,4022,49
其他环境监测与废物处理人员,1660,5.0,10.0,60.0,27.0,21.0,701,73.0,169,594,47
检验、计量人员,161575,220.0,219.0,2142.0,1223.0,966.0,70092,5270.0,29084,52359,47
检验人员,142931,186.0,157.0,1689.0,1009.0,810.0,61566,4709.0,26832,45973,47
航空产品检验人员,698,,1.0,17.0,8.0,6.0,451,15.0,61,139,44
航天器检验、测试人员,3734,8.0,31.0,172.0,38.0,46.0,1165,120.0,334,1820,49
计量人员,7950,12.0,15.0,149.0,75.0,60.0,3895,245.0,944,2555,47
其他检验、计量人员,6262,14.0,15.0,115.0,93.0,44.0,3015,181.0,913,1872,46
其他生产、运输设备操作人员及有关人员,810892,1843.0,4284.0,35325.0,7493.0,6703.0,190535,30697.0,112425,421587,50
包装人员,155279,192.0,360.0,2982.0,820.0,981.0,36825,6061.0,32733,74325,50
机泵操作人员,9544,21.0,24.0,252.0,72.0,83.0,3625,264.0,1300,3903,48
简单体力劳动人员,646069,1630.0,3900.0,32091.0,6601.0,5639.0,150085,24372.0,78392,343359,50
不便分类的其他从业人员,42883,161.0,350.0,2307.0,604.0,385.0,13770,1732.0,4514,19060,48
女,31032853,259074.0,990954.0,4560842.0,742832.0,534883.0,8948117,1605181.0,2732920,10658050,44
国家机关、党群组织、企业、事业单位负责人,316799,645.0,1110.0,7979.0,4072.0,1909.0,152670,8554.0,31736,108124,47
中国共产党中央委员会和地方各级组织负责人,1769,9.0,5.0,57.0,39.0,11.0,1298,35.0,67,248,42
中国共产党中央委员会和地方各级组织负责人,1769,9.0,5.0,57.0,39.0,11.0,1298,35.0,67,248,42
国家机关及其工作机构负责人,21867,65.0,53.0,475.0,612.0,145.0,17179,309.0,983,2046,41
国家权力机关及其工作机构负责人,2499,10.0,15.0,109.0,69.0,19.0,1802,55.0,140,280,41
人民政协及其工作机构负责人,1201,5.0,7.0,42.0,38.0,8.0,867,9.0,75,150,42
人民法院负责人,725,3.0,2.0,20.0,13.0,4.0,554,15.0,34,80,42
人民检察院负责人,481,,,10.0,15.0,3.0,383,6.0,19,45,41
国家行政机关及其工作机构负责人,13068,31.0,22.0,225.0,365.0,88.0,10626,154.0,509,1048,41
其他国家机关及其工作机构负责人,3893,16.0,7.0,69.0,112.0,23.0,2947,70.0,206,443,42
民主党派和社会团体及其工作机构负责人,23749,93.0,320.0,1940.0,532.0,223.0,13085,741.0,1687,5128,43
民主党派负责人,1299,9.0,66.0,234.0,45.0,27.0,414,75.0,66,363,41
工会、共青团、妇联、其他人民团体及其工作机构负责人,6921,31.0,104.0,688.0,163.0,81.0,4011,201.0,450,1192,41
群众自治组织负责人,13361,46.0,137.0,911.0,278.0,108.0,7416,411.0,1011,3043,43
其他社会团体及其工作机构负责人,2168,7.0,13.0,107.0,46.0,7.0,1244,54.0,160,530,44
事业单位负责人,21403,61.0,62.0,483.0,466.0,138.0,15371,444.0,1280,3098,43
教育教学单位负责人,6519,12.0,24.0,143.0,115.0,29.0,4749,148.0,361,938,42
卫生单位负责人,2780,12.0,18.0,115.0,56.0,30.0,1868,74.0,178,429,42
科研单位负责人,989,7.0,2.0,21.0,18.0,4.0,693,22.0,62,160,43
其他事业单位负责人,11115,30.0,18.0,204.0,277.0,75.0,8061,200.0,679,1571,43
企业负责人,248011,417.0,670.0,5024.0,2423.0,1392.0,105737,7025.0,27719,97604,49
企业负责人,248011,417.0,670.0,5024.0,2423.0,1392.0,105737,7025.0,27719,97604,49
专业技术人员,2478819,6219.0,7776.0,59403.0,42365.0,18806.0,1650206,69966.0,233928,390150,43
科学研究人员,19100,93.0,206.0,1403.0,485.0,375.0,12571,469.0,1107,2391,41
哲学研究人员,2406,47.0,112.0,502.0,56.0,36.0,858,93.0,98,604,40
经济学研究人员,548,1.0,5.0,20.0,6.0,4.0,367,14.0,41,90,43
法学研究人员,255,2.0,8.0,14.0,5.0,6.0,152,8.0,19,41,41
社会学研究人员,544,3.0,2.0,12.0,8.0,1.0,400,12.0,28,78,42
教育科学研究人员,1471,16.0,15.0,81.0,32.0,6.0,986,47.0,78,210,41
文学、艺术研究人员,353,1.0,1.0,22.0,3.0,2.0,235,11.0,28,50,42
图书馆学、情报学研究人员,708,1.0,4.0,14.0,18.0,3.0,571,10.0,24,63,41
历史学研究人员,178,,2.0,5.0,5.0,,142,1.0,7,16,41
管理科学研究人员,933,1.0,1.0,28.0,15.0,7.0,642,21.0,85,133,43
数学研究人员,1417,4.0,32.0,512.0,132.0,245.0,353,24.0,40,75,35
物理学研究人员,593,1.0,2.0,5.0,8.0,2.0,483,12.0,31,49,41
化学研究人员,1846,1.0,4.0,32.0,25.0,12.0,1218,44.0,207,303,43
天文学研究人员,109,1.0,,2.0,3.0,2.0,73,2.0,8,18,43
地球科学研究人员,250,2.0,,3.0,5.0,1.0,209,7.0,8,15,41
生物科学研究人员,1250,1.0,2.0,16.0,20.0,6.0,1050,20.0,65,70,41
农业科学研究人员,1893,1.0,12.0,79.0,64.0,22.0,1402,35.0,75,203,41
医学研究人员,2456,7.0,3.0,33.0,36.0,8.0,1924,65.0,159,221,42
其他科学研究人员,1890,3.0,1.0,23.0,44.0,12.0,1506,43.0,106,152,42
工程技术人员,246291,528.0,656.0,5298.0,3149.0,1991.0,149178,7011.0,27695,50785,44
地质勘探工程技术人员,3109,6.0,13.0,97.0,81.0,34.0,2247,55.0,202,374,42
测绘工程技术人员,3386,4.0,12.0,133.0,68.0,28.0,2333,69.0,289,450,42
矿山工程技术人员,3477,11.0,12.0,95.0,50.0,32.0,1951,83.0,340,903,45
石油工程技术人员,4661,6.0,7.0,29.0,60.0,33.0,3748,53.0,231,494,42
冶金工程技术人员,4141,6.0,12.0,68.0,48.0,32.0,2542,129.0,440,864,44
化工工程技术人员,6535,19.0,9.0,102.0,106.0,67.0,4204,175.0,741,1112,43
机械工程技术人员,19886,51.0,38.0,312.0,144.0,112.0,11743,568.0,3030,3888,44
兵器工程技术人员,837,,,5.0,12.0,21.0,653,15.0,80,51,42
航空工程技术人员,1876,2.0,1.0,24.0,7.0,13.0,1458,53.0,115,203,42
航天工程技术人员,1983,5.0,5.0,38.0,9.0,14.0,1455,55.0,107,295,43
电子工程技术人员,19401,55.0,28.0,307.0,120.0,136.0,10833,630.0,2855,4437,45
通信工程技术人员,10622,18.0,11.0,143.0,166.0,67.0,7552,290.0,896,1479,43
计算机与应用工程技术人员,29680,52.0,40.0,355.0,281.0,222.0,21065,837.0,2761,4067,43
电气工程技术人员,5531,13.0,9.0,76.0,69.0,39.0,3364,157.0,744,1060,44
电力工程技术人员,12050,27.0,14.0,240.0,276.0,146.0,8462,263.0,979,1643,43
邮政工程技术人员,946,2.0,1.0,26.0,15.0,7.0,639,32.0,73,151,43
广播、电影、电视工程技术人员,3090,10.0,9.0,74.0,67.0,24.0,2124,85.0,277,420,43
交通工程技术人员,3732,10.0,12.0,86.0,63.0,27.0,2341,86.0,401,706,44
民用航空工程技术人员,793,4.0,6.0,36.0,10.0,13.0,430,36.0,72,186,44
铁路工程技术人员,4148,10.0,9.0,70.0,56.0,30.0,2894,65.0,381,633,43
建筑工程技术人员,33415,75.0,199.0,1198.0,527.0,296.0,19697,1017.0,3168,7238,44
建材工程技术人员,4804,9.0,16.0,199.0,44.0,52.0,1988,169.0,622,1705,47
林业工程技术人员,2499,8.0,14.0,108.0,70.0,22.0,1566,58.0,229,424,43
水利工程技术人员,3908,9.0,5.0,67.0,114.0,37.0,3016,59.0,228,373,42
海洋工程技术人员,299,1.0,,3.0,3.0,,219,4.0,20,49,43
水产工程技术人员,446,1.0,1.0,20.0,4.0,4.0,257,18.0,38,103,44
纺织工程技术人员,15480,39.0,65.0,526.0,128.0,163.0,5256,597.0,2370,6336,48
食品工程技术人员,6624,16.0,47.0,276.0,70.0,64.0,2373,241.0,920,2617,48
气象工程技术人员,1284,,2.0,20.0,67.0,14.0,903,36.0,75,167,43
地震工程技术人员,302,,1.0,8.0,10.0,2.0,192,3.0,26,60,44
环境保护工程技术人员,2601,6.0,3.0,56.0,43.0,13.0,1915,65.0,168,332,42
安全工程技术人员,2093,5.0,4.0,29.0,32.0,15.0,1332,66.0,240,370,44
标准化、计量、质量工程技术人员,9760,15.0,14.0,122.0,109.0,63.0,5490,276.0,1345,2326,45
管理（工业）工程技术人员,15318,22.0,18.0,220.0,142.0,77.0,8269,434.0,2304,3832,45
其他工程技术人员,7574,11.0,19.0,130.0,78.0,72.0,4667,232.0,928,1437,44
农业技术人员,23801,180.0,559.0,2923.0,528.0,284.0,9778,845.0,1893,6811,43
土壤肥料技术人员,3140,24.0,180.0,655.0,49.0,27.0,1233,77.0,226,669,39
植物保护技术人员,2025,11.0,33.0,196.0,49.0,20.0,1025,77.0,162,452,42
园艺技术人员,6706,19.0,100.0,778.0,169.0,99.0,2712,298.0,677,1854,43
作物遗传育种栽培技术人员,1280,4.0,9.0,72.0,31.0,8.0,572,46.0,83,455,45
兽医、兽药技术人员,2745,8.0,19.0,191.0,45.0,30.0,1351,85.0,240,776,44
畜牧与草业技术人员,2661,40.0,82.0,417.0,73.0,44.0,864,122.0,216,803,42
其他农业技术人员,5244,74.0,136.0,614.0,112.0,56.0,2021,140.0,289,1802,43
飞机和船舶技术人员,3354,6.0,20.0,265.0,51.0,47.0,1369,121.0,356,1119,45
飞行人员和领航人员,2000,3.0,17.0,231.0,34.0,34.0,608,78.0,206,789,46
船舶指挥和引航人员,402,,2.0,19.0,8.0,3.0,154,11.0,42,163,48
其他飞机和船舶技术人员,952,3.0,1.0,15.0,9.0,10.0,607,32.0,108,167,44
卫生专业技术人员,413002,836.0,771.0,7674.0,7281.0,4215.0,255062,16621.0,42841,77701,44
西医医师,100345,198.0,236.0,1942.0,1632.0,895.0,63700,3704.0,9047,18991,44
中医医师,16736,38.0,54.0,411.0,272.0,170.0,10101,653.0,1577,3460,44
中西医结合医师,23510,70.0,74.0,627.0,440.0,241.0,13202,954.0,2152,5750,45
民族医生,1334,6.0,4.0,63.0,17.0,13.0,717,58.0,139,317,44
公共卫生医师,6170,26.0,17.0,170.0,127.0,42.0,3848,183.0,510,1247,44
药剂人员,21802,55.0,36.0,408.0,413.0,272.0,13221,928.0,2307,4162,44
医疗技术人员,20574,34.0,44.0,442.0,371.0,218.0,13027,794.0,1892,3752,44
护理人员,205294,369.0,253.0,3119.0,3686.0,2212.0,127089,8717.0,23590,36259,44
其他卫生专业技术人员,17237,40.0,53.0,492.0,323.0,152.0,10157,630.0,1627,3763,44
经济业务人员,653236,1119.0,1104.0,10615.0,10388.0,4339.0,405887,17525.0,85035,117224,44
经济计划人员,11711,28.0,59.0,454.0,178.0,75.0,6695,319.0,1309,2594,44
统计人员,43887,75.0,73.0,694.0,642.0,278.0,25282,1087.0,6599,9157,45
会计人员,565106,949.0,889.0,8881.0,8961.0,3786.0,353134,15141.0,73153,100212,44
审计人员,9781,11.0,7.0,118.0,240.0,57.0,7547,211.0,759,831,42
国际商务人员,5328,3.0,2.0,37.0,68.0,26.0,3607,202.0,869,514,43
其他经济业务人员,17423,53.0,74.0,431.0,299.0,117.0,9622,565.0,2346,3916,45
金融业务人员,175882,397.0,445.0,4434.0,3490.0,1268.0,122419,4411.0,15246,23772,42
银行业务人员,95257,169.0,66.0,1389.0,2066.0,644.0,72007,2217.0,7033,9666,42
保险业务人员,62654,189.0,349.0,2427.0,1042.0,521.0,37317,1809.0,6860,12140,43
证券业务人员,7567,16.0,17.0,332.0,167.0,43.0,5717,149.0,503,623,41
其他金融业务人员,10404,23.0,13.0,286.0,215.0,60.0,7378,236.0,850,1343,42
法律专业人员,20867,43.0,28.0,378.0,546.0,116.0,16486,357.0,1097,1816,41
法官,5136,13.0,5.0,78.0,148.0,37.0,3890,89.0,300,576,42
检察官,2172,4.0,1.0,48.0,66.0,15.0,1806,28.0,69,135,41
律师,6624,13.0,14.0,112.0,108.0,27.0,5205,133.0,412,600,42
公证员,919,,1.0,26.0,28.0,8.0,712,15.0,43,86,41
司法鉴定人员,612,1.0,,20.0,14.0,2.0,487,10.0,26,52,41
书记员,2340,6.0,1.0,30.0,86.0,9.0,1926,32.0,104,146,41
其他法律专业人员,3064,6.0,6.0,64.0,96.0,18.0,2460,50.0,143,221,41
教学人员,818336,2651.0,3317.0,22508.0,14671.0,5439.0,610700,19445.0,48219,91386,42
高等教育教师,77515,350.0,507.0,2098.0,1671.0,424.0,64903,1199.0,2633,3730,40
中等职业教育教师,43895,134.0,175.0,993.0,817.0,284.0,34310,999.0,2366,3817,41
中学教师,266121,739.0,831.0,6284.0,4070.0,1667.0,200061,6488.0,15480,30501,42
小学教师,268712,668.0,877.0,8168.0,5294.0,1866.0,204797,6117.0,12741,28184,41
幼儿教师,123088,239.0,297.0,3260.0,2034.0,886.0,80568,3656.0,11914,20234,43
特殊教育教师,4182,21.0,35.0,127.0,88.0,21.0,3114,90.0,254,432,41
其他教学人员,34823,500.0,595.0,1578.0,697.0,291.0,22947,896.0,2831,4488,41
文学艺术工作人员,40849,169.0,327.0,1855.0,574.0,309.0,22467,1481.0,5293,8374,44
文艺创作和评论人员,946,7.0,8.0,58.0,16.0,3.0,592,40.0,70,152,42
编导和音乐指挥人员,1208,4.0,7.0,37.0,26.0,9.0,890,25.0,65,145,42
演员,6488,83.0,148.0,829.0,210.0,77.0,3384,229.0,405,1123,41
乐器演奏员,1325,17.0,77.0,284.0,29.0,17.0,590,53.0,61,197,38
电影、电视制作及舞台专业人员,2350,6.0,6.0,64.0,36.0,15.0,1592,66.0,186,379,43
美术专业人员,2134,7.0,16.0,76.0,25.0,16.0,1103,76.0,291,524,45
工艺美术专业人员,24528,36.0,45.0,403.0,200.0,153.0,13247,924.0,4038,5482,45
其他文学艺术工作人员,1870,9.0,20.0,104.0,32.0,19.0,1069,68.0,177,372,43
体育工作人员,1408,6.0,15.0,92.0,19.0,11.0,898,57.0,142,168,42
体育工作人员,1408,6.0,15.0,92.0,19.0,11.0,898,57.0,142,168,42
新闻出版、文化工作人员,47960,126.0,74.0,815.0,940.0,290.0,36641,1087.0,3280,4707,42
记者,7386,14.0,14.0,88.0,142.0,36.0,5721,163.0,482,726,42
编辑,14026,24.0,13.0,211.0,257.0,76.0,11247,317.0,842,1039,41
校对员,1519,1.0,2.0,54.0,20.0,10.0,1046,50.0,138,198,42
播音员及节目主持人,3235,16.0,14.0,96.0,65.0,30.0,2258,90.0,243,423,42
翻译,6028,19.0,14.0,105.0,48.0,22.0,4177,176.0,633,834,43
图书资料与档案业务人员,11689,40.0,12.0,168.0,323.0,89.0,9311,192.0,646,908,41
考古及文物保护工作人员,529,1.0,,10.0,13.0,4.0,412,6.0,26,57,42
其他新闻出版、文化工作人员,3548,11.0,5.0,83.0,72.0,23.0,2469,93.0,270,522,43
宗教职业者,2938,32.0,228.0,854.0,92.0,26.0,648,172.0,115,771,38
宗教职业者,2938,32.0,228.0,854.0,92.0,26.0,648,172.0,115,771,38
其他专业技术人员,11795,33.0,26.0,289.0,151.0,96.0,6102,364.0,1609,3125,45
其他专业技术人员,11795,33.0,26.0,289.0,151.0,96.0,6102,364.0,1609,3125,45
办事人员和有关人员,1012792,1955.0,1525.0,16490.0,18934.0,6596.0,694016,24836.0,104000,144440,43
行政办公人员,758975,1347.0,874.0,10464.0,14505.0,4609.0,542689,17457.0,76170,90860,43
行政业务人员,305819,588.0,408.0,4725.0,6810.0,1914.0,231414,6052.0,21092,32816,42
行政事务人员,370407,593.0,378.0,4466.0,6064.0,2144.0,254273,9419.0,46073,46997,43
其他行政办公人员,82749,166.0,88.0,1273.0,1631.0,551.0,57002,1986.0,9005,11047,43
安全保卫和消防人员,82656,240.0,275.0,2446.0,1235.0,721.0,44602,2373.0,8565,22199,46
人民警察,25021,64.0,13.0,341.0,578.0,115.0,19384,434.0,1432,2660,42
治安保卫人员,48164,142.0,224.0,1745.0,525.0,515.0,20621,1633.0,6080,16679,48
消防人员,861,2.0,,13.0,15.0,8.0,557,23.0,81,162,44
其他安全保卫和消防人员,8610,32.0,38.0,347.0,117.0,83.0,4040,283.0,972,2698,47
邮政和电信业务人员,69970,145.0,148.0,1542.0,1297.0,584.0,42170,2454.0,8253,13377,44
邮政业务人员,19660,33.0,44.0,509.0,353.0,187.0,12419,654.0,2064,3397,43
